ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00666,Gemini,1.0,2.08,0.6667,1.61818181818,2.57142857143,0.0363636363636,185,116,0.795588,0.966895,1.088889,9.189189,0.7814,0.8132
lyrics00667,Gemini,0.5455,3.2083,0.4545,1.70833333333,2.22727272727,0.0138888888889,256,119,0.736039,0.955985,1.036517,10.15625,0.8066,0.8228
lyrics00668,Gemini,0.7,2.1935,0.6,1.67692307692,2.625,0.0,238,135,0.735556,0.94965,1.0,8.823529,0.6739,0.8018
lyrics00669,Gemini,1.0,1.6923,1.0,1.73333333333,2.44444444444,0.0,161,99,0.778214,0.962202,1.026667,9.31677,0.6386,0.7905
lyrics00670,Gemini,0.7,2.2581,0.6,1.63793103448,2.17391304348,0.0344827586207,212,122,0.752515,0.956772,1.0,6.603774,0.5931,0.8016
lyrics00671,Gemini,1.0,2.2778,0.8333,1.6,2.6,0.0,142,89,0.765591,0.96055,1.057143,7.746479,0.6026,0.8102
lyrics00672,Gemini,1.0,2.3,0.5714,1.51063829787,2.58823529412,0.0,168,94,0.741681,0.946537,1.0,6.547619,0.6801,0.8159
lyrics00673,Gemini,0.8125,2.2778,0.625,1.57317073171,2.48275862069,0.0853658536585,273,141,0.743304,0.957234,1.018018,9.157509,0.777,0.8323
lyrics00674,Gemini,0.9091,1.8,0.7273,1.63829787234,2.59090909091,0.0,174,114,0.81312,0.973364,1.066667,8.045977,0.7056,0.8293
lyrics00675,Gemini,0.75,2.0,0.4375,1.54761904762,2.70967741935,0.0,298,163,0.740482,0.957103,1.055147,10.402685,0.7177,0.8075
lyrics00676,Gemini,0.8571,2.6562,0.4286,1.54794520548,2.33333333333,0.0547945205479,258,145,0.777512,0.964656,1.017391,8.527132,0.7768,0.8158
lyrics00677,Gemini,1.0,2.4737,0.5,1.72727272727,3.0,0.0,165,99,0.751034,0.952286,1.027397,8.484848,0.6756,0.8186
lyrics00678,Gemini,0.9091,1.5152,0.3636,1.46,2.14285714286,0.0,186,106,0.73854,0.945756,1.025,7.526882,0.7379,0.8233
lyrics00679,Gemini,0.9091,1.5,0.6364,1.47619047619,2.28,0.0,160,92,0.747928,0.957124,1.08,7.5,0.6174,0.8053
lyrics00680,Gemini,0.6,2.3125,0.8,1.58823529412,3.33333333333,0.0,130,86,0.811358,0.964896,1.0,7.692308,0.5742,0.8076
lyrics00681,Gemini,0.7273,1.3571,0.3636,1.47457627119,2.7037037037,0.0169491525424,220,121,0.760585,0.961106,1.0,7.727273,0.7199,0.817
lyrics00682,Gemini,1.0,1.6042,0.5385,1.55294117647,2.60606060606,0.0470588235294,289,146,0.780833,0.964822,1.0,8.304498,0.7989,0.8306
lyrics00683,Gemini,0.7778,2.8333,0.2222,1.91304347826,2.08333333333,0.0434782608696,165,101,0.715172,0.942467,1.0,8.484848,0.8295,0.8651
lyrics00684,Gemini,0.9,1.5806,0.6,1.73469387755,2.47619047619,0.0,200,115,0.753775,0.957018,1.067416,8.5,0.6621,0.82
lyrics00685,Gemini,0.8333,2.4333,0.3333,1.59722222222,2.40909090909,0.0138888888889,236,137,0.779037,0.954967,1.018182,6.779661,0.8193,0.8318
